what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274130874961
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274130880141
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1274130886010
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1274130898535
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274130911891
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274130920106
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274130929309
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274130978261
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1274130983830
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1274130986709
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274130991821
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274130991997
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1274130995195
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274130997908
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274130998101
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1274131003081
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1274131007622
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1274131009352
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1274131012473
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1274131013704
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1274131017226
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1274131019374
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1274131054598
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1274131056154
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1274131056310
